foundation_model,target_key,outcome_type,family,cancer_type,endpoint,model_id,resource_selection_basis,representation_specific_qualification,default_inference,redistribution_status,matched_task,representation_effect_threshold_crossing,matched_q2,matched_balanced_accuracy,matched_auroc,object_crossed_representation_threshold,resource_scope,complete_operationalization_of_representation_atlas
GigaSSL,binarydriver_mutationLGGATRX,binary,driver_mutation,LGG,ATRX,GigaSSL__driver_mutation__LGG__ATRX,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.738395972666473,0.80722957255016,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLGGCIC,binary,driver_mutation,LGG,CIC,GigaSSL__driver_mutation__LGG__CIC,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.738032581453634,0.809022556390977,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLGGEGFR,binary,driver_mutation,LGG,EGFR,GigaSSL__driver_mutation__LGG__EGFR,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.750945611060389,0.769662188600496,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLGGFUBP1,binary,driver_mutation,LGG,FUBP1,GigaSSL__driver_mutation__LGG__FUBP1,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.751443001443001,0.809059987631416,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLGGIDH1,binary,driver_mutation,LGG,IDH1,GigaSSL__driver_mutation__LGG__IDH1,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.72169696969697,0.782448484848485,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLGGPTEN,binary,driver_mutation,LGG,PTEN,GigaSSL__driver_mutation__LGG__PTEN,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.582580463015246,0.600131752305665,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLGGTP53,binary,driver_mutation,LGG,TP53,GigaSSL__driver_mutation__LGG__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.785879787379038,0.86597042387897,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLIHCBAP1,binary,driver_mutation,LIHC,BAP1,GigaSSL__driver_mutation__LIHC__BAP1,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.690337423312883,0.694938650306749,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLIHCCTNNB1,binary,driver_mutation,LIHC,CTNNB1,GigaSSL__driver_mutation__LIHC__CTNNB1,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,FALSE,,0.578611776788771,0.599238274563506,FALSE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLIHCTP53,binary,driver_mutation,LIHC,TP53,GigaSSL__driver_mutation__LIHC__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.578419811320755,0.600864779874214,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationLUADTP53,binary,driver_mutation,LUAD,TP53,GigaSSL__driver_mutation__LUAD__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.677378419736498,0.714757585936625,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationOVTP53,binary,driver_mutation,OV,TP53,GigaSSL__driver_mutation__OV__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.649659863945578,0.691933916423712,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationPAADTP53,binary,driver_mutation,PAAD,TP53,GigaSSL__driver_mutation__PAAD__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,FALSE,,0.592425485370522,0.579026524473612,FALSE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationREADAPC,binary,driver_mutation,READ,APC,GigaSSL__driver_mutation__READ__APC,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.8109375,0.846651785714286,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationREADTP53,binary,driver_mutation,READ,TP53,GigaSSL__driver_mutation__READ__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.82174688057041,0.905971479500891,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationSKCMBRAF,binary,driver_mutation,SKCM,BRAF,GigaSSL__driver_mutation__SKCM__BRAF,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.582775919732442,0.610367892976589,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationSTADARID1A,binary,driver_mutation,STAD,ARID1A,GigaSSL__driver_mutation__STAD__ARID1A,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.612237420615535,0.639513108614232,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationSTADPIK3CA,binary,driver_mutation,STAD,PIK3CA,GigaSSL__driver_mutation__STAD__PIK3CA,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.609090909090909,0.686158357771261,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationSTADTP53,binary,driver_mutation,STAD,TP53,GigaSSL__driver_mutation__STAD__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.580688784709701,0.620507272508715,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationTHCABRAF,binary,driver_mutation,THCA,BRAF,GigaSSL__driver_mutation__THCA__BRAF,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.784820849253839,0.861743926176916,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationTHCANRAS,binary,driver_mutation,THCA,NRAS,GigaSSL__driver_mutation__THCA__NRAS,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.717135032150512,0.787032626815909,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationTHYMGTF2I,binary,driver_mutation,THYM,GTF2I,GigaSSL__driver_mutation__THYM__GTF2I,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.811775200713649,0.88373476063039,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationUCECARID1A,binary,driver_mutation,UCEC,ARID1A,GigaSSL__driver_mutation__UCEC__ARID1A,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.589186954524575,0.607514928801102,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationUCECATM,binary,driver_mutation,UCEC,ATM,GigaSSL__driver_mutation__UCEC__ATM,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.600006559958016,0.60204014694306,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationUCECCTNNB1,binary,driver_mutation,UCEC,CTNNB1,GigaSSL__driver_mutation__UCEC__CTNNB1,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.583253205128205,0.605101495726496,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationUCECPTEN,binary,driver_mutation,UCEC,PTEN,GigaSSL__driver_mutation__UCEC__PTEN,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.636385296119809,0.716729067392784,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationUCECTP53,binary,driver_mutation,UCEC,TP53,GigaSSL__driver_mutation__UCEC__TP53,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.665685605691453,0.72269759282721,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarydriver_mutationUVMGNA11,binary,driver_mutation,UVM,GNA11,GigaSSL__driver_mutation__UVM__GNA11,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,FALSE,,0.530632411067194,0.58498023715415,FALSE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryfusionLGGAny called fusion,binary,fusion,LGG,Any called fusion,GigaSSL__fusion__LGG__Any_called_fusion,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.610625295428456,0.661793503950301,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryfusionPRADFusion pair: TMPRSS2--ERG,binary,fusion,PRAD,Fusion pair: TMPRSS2--ERG,GigaSSL__fusion__PRAD__Fusion_pair_TMPRSS2--ERG,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.544865599516762,0.605859257022048,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryfusionSARCAny called fusion,binary,fusion,SARC,Any called fusion,GigaSSL__fusion__SARC__Any_called_fusion,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.615740740740741,0.653549382716049,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryfusionTHCAAny called fusion,binary,fusion,THCA,Any called fusion,GigaSSL__fusion__THCA__Any_called_fusion,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.640448614572643,0.666429304458919,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryfusionTHCAFusion pair: CCDC6--RET,binary,fusion,THCA,Fusion pair: CCDC6--RET,GigaSSL__fusion__THCA__Fusion_pair_CCDC6--RET,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,FALSE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.668220338983051,0.626800847457627,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binaryfusionUCECAny called fusion,binary,fusion,UCEC,Any called fusion,GigaSSL__fusion__UCEC__Any_called_fusion,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.623611111111111,0.661458333333333,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarymicrosatellite_instabilityCOADMSI-H (MANTIS >0.4),binary,microsatellite_instability,COAD,MSI-H (MANTIS >0.4),GigaSSL__microsatellite_instability__COAD__MSI-H_MANTIS_0.4_,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.734173112657189,0.777364850265762,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
GigaSSL,binarymicrosatellite_instabilitySTADMSI-H (MANTIS >0.4),binary,microsatellite_instability,STAD,MSI-H (MANTIS >0.4),GigaSSL__microsatellite_instability__STAD__MSI-H_MANTIS_0.4_,endpoint inherited from the permutation/FDR-qualified TITAN catalogue; not selected by this representation's performance,matched-cohort nested-CV estimate only; no representation-specific permutation/FDR qualification,TRUE,access-controlled private artifact; no public release claimed,TRUE,TRUE,,0.723384435217715,0.78867241562866,TRUE,shared TITAN-qualified targets eligible in the matched common cohort; not the representation-specific crossing set,FALSE
