family,tumor_type,endpoint,empirical_ba_consensus,auroc_tuned_ba_consensus,auroc_tuned_auroc_consensus,empirical_ba_crossing_count,auroc_tuned_ba_crossing_count,auroc_tuned_auroc_crossing_count,baseline_auroc_winner,auroc_tuned_winner,maximum_auroc_tuning_change,empirical_to_auroc_tuned_ba_consensus_changed,auroc_tuned_ba_to_auroc_consensus_changed,auroc_winner_changed
driver_mutation,BLCA,FGFR3,all three,all three,all three,3,3,3,TITAN,GigaSSL,0.0619528619528622,FALSE,FALSE,TRUE
driver_mutation,BLCA,KANSL1,none,none,none,0,0,0,TITAN,TITAN,0.0706018518518518,FALSE,FALSE,FALSE
driver_mutation,BLCA,KDM6A,none,none,none,0,0,0,TITAN,TITAN,0.0149739583333337,FALSE,FALSE,FALSE
driver_mutation,BLCA,KLF5,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0721500721500722,FALSE,FALSE,FALSE
driver_mutation,BLCA,KMT2C,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0366287179948703,FALSE,FALSE,FALSE
driver_mutation,BLCA,KMT2D,none,none,none,0,0,0,TITAN,TITAN,0.0322495023224949,FALSE,FALSE,FALSE
driver_mutation,BLCA,NFE2L2,none,none,representation specific,0,0,1,TITAN,TITAN,0.0422453703703705,FALSE,TRUE,FALSE
driver_mutation,BLCA,PIK3CA,none,none,representation specific,0,0,1,TITAN,TITAN,0.024067194314327,FALSE,TRUE,FALSE
driver_mutation,BLCA,RB1,none,none,all three,0,0,3,ProvGigaPath,TITAN,0.0821036867374358,FALSE,TRUE,TRUE
driver_mutation,BLCA,RHOB,none,representation specific,none,0,1,0,TITAN,GigaSSL,0.0383101851851847,TRUE,TRUE,TRUE
driver_mutation,BLCA,RXRA,none,none,none,0,0,0,GigaSSL,GigaSSL,0.086448904630723,FALSE,FALSE,FALSE
driver_mutation,BLCA,SF3B1,none,none,none,0,0,0,GigaSSL,ProvGigaPath,0.0914113510798599,FALSE,FALSE,TRUE
driver_mutation,BLCA,SPTAN1,none,none,none,0,0,0,GigaSSL,ProvGigaPath,0.0647656506063583,FALSE,FALSE,TRUE
driver_mutation,BLCA,STAG2,none,representation specific,exactly two,0,1,2,GigaSSL,ProvGigaPath,0.0744456478367436,TRUE,TRUE,TRUE
driver_mutation,BLCA,TP53,exactly two,exactly two,all three,2,2,3,TITAN,TITAN,0.0206980850196925,FALSE,TRUE,FALSE
driver_mutation,BLCA,TSC1,none,none,none,0,0,0,TITAN,GigaSSL,0.063949579831933,FALSE,FALSE,TRUE
driver_mutation,BLCA,ZFP36L1,none,none,none,0,0,0,TITAN,GigaSSL,0.0742061281337045,FALSE,FALSE,TRUE
driver_mutation,CESC,EP300,none,representation specific,exactly two,0,1,2,TITAN,TITAN,0.135897435897436,TRUE,TRUE,FALSE
driver_mutation,CESC,FBXW7,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0399192295744015,FALSE,FALSE,FALSE
driver_mutation,CESC,KMT2C,none,none,none,0,0,0,TITAN,TITAN,0.0133500208594075,FALSE,FALSE,FALSE
driver_mutation,CESC,KMT2D,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.0516431924882627,TRUE,FALSE,FALSE
driver_mutation,CESC,PIK3CA,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0478295185477507,FALSE,FALSE,FALSE
driver_mutation,CESC,TP53,representation specific,representation specific,representation specific,1,1,1,TITAN,TITAN,0.099585921325052,FALSE,FALSE,FALSE
driver_mutation,COAD,ACVR2A,none,all three,all three,0,3,3,GigaSSL,GigaSSL,0.0907531987864397,TRUE,FALSE,FALSE
driver_mutation,COAD,AMER1,none,none,exactly two,0,0,2,TITAN,ProvGigaPath,0.1397571484528,FALSE,TRUE,TRUE
driver_mutation,COAD,APC,all three,all three,all three,3,3,3,TITAN,TITAN,0.029295589203423,FALSE,FALSE,FALSE
driver_mutation,COAD,ARID1A,none,representation specific,exactly two,0,1,2,GigaSSL,TITAN,0.0935598377281945,TRUE,TRUE,TRUE
driver_mutation,COAD,BRAF,representation specific,all three,all three,1,3,3,ProvGigaPath,TITAN,0.13548951048951,TRUE,FALSE,TRUE
driver_mutation,COAD,CTNNB1,none,exactly two,exactly two,0,2,2,TITAN,TITAN,0.123466561139691,TRUE,FALSE,FALSE
driver_mutation,COAD,FBXW7,none,none,exactly two,0,0,2,TITAN,TITAN,0.0840364958496256,FALSE,TRUE,FALSE
driver_mutation,COAD,KRAS,all three,all three,all three,3,3,3,ProvGigaPath,TITAN,0.0466889880952381,FALSE,FALSE,TRUE
driver_mutation,COAD,PIK3CA,none,exactly two,exactly two,0,2,2,GigaSSL,GigaSSL,0.0477092315751295,TRUE,FALSE,FALSE
driver_mutation,COAD,SMAD4,none,all three,all three,0,3,3,TITAN,ProvGigaPath,0.0924855491329483,TRUE,FALSE,TRUE
driver_mutation,COAD,SOX9,none,exactly two,all three,0,2,3,GigaSSL,TITAN,0.172058823529411,TRUE,TRUE,TRUE
driver_mutation,COAD,TCF7L2,none,none,none,0,0,0,GigaSSL,TITAN,0.0753571428571427,FALSE,FALSE,TRUE
driver_mutation,COAD,TP53,all three,all three,all three,3,3,3,TITAN,TITAN,0.00854388578173715,FALSE,FALSE,FALSE
driver_mutation,GBM,EGFR,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0308750000000001,FALSE,FALSE,FALSE
driver_mutation,GBM,PIK3CA,none,representation specific,none,0,1,0,TITAN,ProvGigaPath,0.131567973311093,TRUE,TRUE,TRUE
driver_mutation,GBM,PTEN,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.13863384118656,TRUE,FALSE,FALSE
driver_mutation,GBM,TP53,all three,exactly two,all three,3,2,3,TITAN,TITAN,0.0124795417348605,TRUE,TRUE,FALSE
driver_mutation,HNSC,AJUBA,none,representation specific,exactly two,0,1,2,ProvGigaPath,TITAN,0.123094647288195,TRUE,TRUE,TRUE
driver_mutation,HNSC,CASP8,representation specific,all three,all three,1,3,3,TITAN,TITAN,0.0333000886524821,TRUE,FALSE,FALSE
driver_mutation,HNSC,CDKN2A,none,none,none,0,0,0,ProvGigaPath,TITAN,0.0780107733743747,FALSE,FALSE,TRUE
driver_mutation,HNSC,EP300,none,none,none,0,0,0,TITAN,GigaSSL,0.0955112219451371,FALSE,FALSE,TRUE
driver_mutation,HNSC,EPHA2,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.058290707587383,FALSE,FALSE,FALSE
driver_mutation,HNSC,FAT1,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0196206467661686,FALSE,FALSE,FALSE
driver_mutation,HNSC,FBXW7,none,none,none,0,0,0,ProvGigaPath,GigaSSL,0.0404112017015246,FALSE,FALSE,TRUE
driver_mutation,HNSC,HLA-B,none,exactly two,representation specific,0,2,1,TITAN,TITAN,0.0204379562043799,TRUE,TRUE,FALSE
driver_mutation,HNSC,HRAS,none,all three,all three,0,3,3,TITAN,TITAN,0.236156949028236,TRUE,FALSE,FALSE
driver_mutation,HNSC,HUWE1,none,representation specific,all three,0,1,3,TITAN,GigaSSL,0.0405370843989766,TRUE,TRUE,TRUE
driver_mutation,HNSC,KEAP1,none,none,exactly two,0,0,2,GigaSSL,GigaSSL,0.166423357664233,FALSE,TRUE,FALSE
driver_mutation,HNSC,KMT2D,none,none,representation specific,0,0,1,ProvGigaPath,TITAN,0.0531755915317557,FALSE,TRUE,TRUE
driver_mutation,HNSC,NFE2L2,none,none,none,0,0,0,TITAN,GigaSSL,0.0410256410256413,FALSE,FALSE,TRUE
driver_mutation,HNSC,NOTCH1,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.040318438623523,FALSE,FALSE,FALSE
driver_mutation,HNSC,NSD1,all three,exactly two,all three,3,2,3,TITAN,GigaSSL,0.0411248710010317,TRUE,TRUE,TRUE
driver_mutation,HNSC,PIK3CA,none,none,none,0,0,0,TITAN,ProvGigaPath,0.0211976682564913,FALSE,FALSE,TRUE
driver_mutation,HNSC,TGFBR2,none,representation specific,exactly two,0,1,2,ProvGigaPath,ProvGigaPath,0.133333333333333,TRUE,TRUE,FALSE
driver_mutation,HNSC,TP53,exactly two,exactly two,all three,2,2,3,GigaSSL,GigaSSL,0.0181587837837838,FALSE,TRUE,FALSE
driver_mutation,KICH,TP53,none,none,representation specific,0,0,1,TITAN,TITAN,0.08982683982684,FALSE,TRUE,FALSE
driver_mutation,KIRC,BAP1,none,representation specific,exactly two,0,1,2,GigaSSL,TITAN,0.15750452079566,TRUE,TRUE,TRUE
driver_mutation,KIRC,MTOR,none,none,none,0,0,0,TITAN,ProvGigaPath,0.0474394147233652,FALSE,FALSE,TRUE
driver_mutation,KIRC,PBRM1,representation specific,representation specific,all three,1,1,3,ProvGigaPath,ProvGigaPath,0.0259114495585956,FALSE,TRUE,FALSE
driver_mutation,KIRC,SETD2,representation specific,representation specific,exactly two,1,1,2,TITAN,TITAN,0.0632698768197086,FALSE,TRUE,FALSE
driver_mutation,KIRC,VHL,none,none,representation specific,0,0,1,TITAN,TITAN,0.00929319371727788,FALSE,TRUE,FALSE
driver_mutation,LGG,ATRX,all three,all three,all three,3,3,3,TITAN,TITAN,0.0117221576039542,FALSE,FALSE,FALSE
driver_mutation,LGG,CIC,all three,all three,all three,3,3,3,TITAN,TITAN,0.0243859649122808,FALSE,FALSE,FALSE
driver_mutation,LGG,EGFR,exactly two,all three,all three,2,3,3,TITAN,TITAN,0.0504108517020996,TRUE,FALSE,FALSE
driver_mutation,LGG,FUBP1,exactly two,all three,all three,2,3,3,TITAN,TITAN,0.0913213770356625,TRUE,FALSE,FALSE
driver_mutation,LGG,IDH1,all three,all three,all three,3,3,3,TITAN,ProvGigaPath,0.0204848484848482,FALSE,FALSE,TRUE
driver_mutation,LGG,IDH2,none,all three,all three,0,3,3,GigaSSL,GigaSSL,0.180322580645161,TRUE,FALSE,FALSE
driver_mutation,LGG,NF1,none,representation specific,representation specific,0,1,1,ProvGigaPath,TITAN,0.16278243569703,TRUE,FALSE,TRUE
driver_mutation,LGG,NOTCH1,none,exactly two,exactly two,0,2,2,GigaSSL,TITAN,0.0757450331125826,TRUE,FALSE,TRUE
driver_mutation,LGG,PIK3CA,none,none,representation specific,0,0,1,GigaSSL,ProvGigaPath,0.0644382022471915,FALSE,TRUE,TRUE
driver_mutation,LGG,PIK3R1,none,none,none,0,0,0,ProvGigaPath,TITAN,0.0450533661740562,FALSE,FALSE,TRUE
driver_mutation,LGG,PTEN,representation specific,exactly two,all three,1,2,3,ProvGigaPath,ProvGigaPath,0.0408432147562586,TRUE,TRUE,FALSE
driver_mutation,LGG,SMARCA4,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0653043478260865,FALSE,FALSE,FALSE
driver_mutation,LGG,TP53,all three,all three,all three,3,3,3,TITAN,TITAN,0.016951751397029,FALSE,FALSE,FALSE
driver_mutation,LIHC,ALB,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0162421557770397,FALSE,FALSE,FALSE
driver_mutation,LIHC,APOB,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0347850678733033,FALSE,FALSE,FALSE
driver_mutation,LIHC,ARID1A,none,representation specific,representation specific,0,1,1,GigaSSL,GigaSSL,0.0439903846153843,TRUE,FALSE,FALSE
driver_mutation,LIHC,AXIN1,none,all three,all three,0,3,3,ProvGigaPath,TITAN,0.0750155763239877,TRUE,FALSE,TRUE
driver_mutation,LIHC,BAP1,representation specific,all three,all three,1,3,3,ProvGigaPath,TITAN,0.0720858895705517,TRUE,FALSE,TRUE
driver_mutation,LIHC,CTNNB1,representation specific,exactly two,exactly two,1,2,2,TITAN,TITAN,0.0336357411845255,TRUE,FALSE,FALSE
driver_mutation,LIHC,TP53,none,exactly two,all three,0,2,3,TITAN,TITAN,0.0889544025157232,TRUE,TRUE,FALSE
driver_mutation,LUAD,ARID1A,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0577168949771692,FALSE,FALSE,FALSE
driver_mutation,LUAD,ATM,none,none,none,0,0,0,ProvGigaPath,TITAN,0.114135262022586,FALSE,FALSE,TRUE
driver_mutation,LUAD,BRAF,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0376221291714247,FALSE,FALSE,FALSE
driver_mutation,LUAD,EGFR,all three,all three,all three,3,3,3,GigaSSL,ProvGigaPath,0.0351988588689381,FALSE,FALSE,TRUE
driver_mutation,LUAD,KEAP1,none,exactly two,exactly two,0,2,2,TITAN,TITAN,0.0286303107165499,TRUE,FALSE,FALSE
driver_mutation,LUAD,KRAS,representation specific,none,none,1,0,0,ProvGigaPath,ProvGigaPath,0.030915524104379,TRUE,FALSE,FALSE
driver_mutation,LUAD,MGA,none,none,none,0,0,0,TITAN,TITAN,0.0201014832162369,FALSE,FALSE,FALSE
driver_mutation,LUAD,NF1,none,none,representation specific,0,0,1,TITAN,TITAN,0.0691815746262208,FALSE,TRUE,FALSE
driver_mutation,LUAD,PIK3CA,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.0379334624185878,TRUE,FALSE,FALSE
driver_mutation,LUAD,RB1,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0268493150684929,FALSE,FALSE,FALSE
driver_mutation,LUAD,RBM10,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0568710359408037,FALSE,FALSE,FALSE
driver_mutation,LUAD,SETD2,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0317167051578142,FALSE,FALSE,FALSE
driver_mutation,LUAD,SMARCA4,none,representation specific,exactly two,0,1,2,GigaSSL,TITAN,0.0399427530575069,TRUE,TRUE,TRUE
driver_mutation,LUAD,STK11,representation specific,exactly two,all three,1,2,3,ProvGigaPath,ProvGigaPath,0.0747022463440369,TRUE,TRUE,FALSE
driver_mutation,LUAD,TP53,all three,all three,all three,3,3,3,ProvGigaPath,ProvGigaPath,0.00757660582988062,FALSE,FALSE,FALSE
driver_mutation,LUSC,ARHGAP35,none,none,exactly two,0,0,2,ProvGigaPath,ProvGigaPath,0.0886210563629921,FALSE,TRUE,FALSE
driver_mutation,LUSC,ARID1A,none,none,none,0,0,0,ProvGigaPath,GigaSSL,0.0621851267012561,FALSE,FALSE,TRUE
driver_mutation,LUSC,CDKN2A,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0742421968787514,FALSE,FALSE,FALSE
driver_mutation,LUSC,CUL3,none,none,none,0,0,0,TITAN,GigaSSL,0.0516781609195406,FALSE,FALSE,TRUE
driver_mutation,LUSC,FAT1,none,none,none,0,0,0,ProvGigaPath,ProvGigaPath,0.0278379096882005,FALSE,FALSE,FALSE
driver_mutation,LUSC,FBXW7,none,none,representation specific,0,0,1,GigaSSL,GigaSSL,0.0805517241379314,FALSE,TRUE,FALSE
driver_mutation,LUSC,KDM6A,none,none,none,0,0,0,ProvGigaPath,GigaSSL,0.100553205336804,FALSE,FALSE,TRUE
driver_mutation,LUSC,KEAP1,none,representation specific,exactly two,0,1,2,TITAN,TITAN,0.0342777697876212,TRUE,TRUE,FALSE
driver_mutation,LUSC,KMT2D,none,none,none,0,0,0,TITAN,TITAN,0.0390525142095671,FALSE,FALSE,FALSE
driver_mutation,LUSC,NF1,none,none,none,0,0,0,TITAN,ProvGigaPath,0.0649486071800987,FALSE,FALSE,TRUE
driver_mutation,LUSC,NFE2L2,none,none,representation specific,0,0,1,TITAN,TITAN,0.0471081372096599,FALSE,TRUE,FALSE
driver_mutation,LUSC,NOTCH1,none,none,none,0,0,0,TITAN,TITAN,0.0305293501048221,FALSE,FALSE,FALSE
driver_mutation,LUSC,PIK3CA,none,none,none,0,0,0,TITAN,ProvGigaPath,0.0400474365991603,FALSE,FALSE,TRUE
driver_mutation,LUSC,PTEN,none,none,none,0,0,0,TITAN,GigaSSL,0.118893523179443,FALSE,FALSE,TRUE
driver_mutation,LUSC,RASA1,none,none,representation specific,0,0,1,TITAN,TITAN,0.0236018881510525,FALSE,TRUE,FALSE
driver_mutation,LUSC,RB1,none,none,none,0,0,0,ProvGigaPath,TITAN,0.101736972704715,FALSE,FALSE,TRUE
driver_mutation,LUSC,TP53,none,none,none,0,0,0,TITAN,ProvGigaPath,0.0349181035914812,FALSE,FALSE,TRUE
driver_mutation,OV,TP53,exactly two,exactly two,all three,2,2,3,ProvGigaPath,ProvGigaPath,0.0835762876579208,FALSE,TRUE,FALSE
driver_mutation,PAAD,CDKN2A,none,none,none,0,0,0,TITAN,TITAN,0.0219023779724652,FALSE,FALSE,FALSE
driver_mutation,PAAD,KRAS,representation specific,representation specific,representation specific,1,1,1,ProvGigaPath,ProvGigaPath,0.0881063705435415,FALSE,FALSE,FALSE
driver_mutation,PAAD,SMAD4,none,none,none,0,0,0,TITAN,TITAN,0.0783392087739912,FALSE,FALSE,FALSE
driver_mutation,PAAD,TP53,none,none,exactly two,0,0,2,ProvGigaPath,ProvGigaPath,0.0706863549357394,FALSE,TRUE,FALSE
driver_mutation,PRAD,FOXA1,representation specific,none,none,1,0,0,GigaSSL,GigaSSL,0.0509136735979834,TRUE,FALSE,FALSE
driver_mutation,PRAD,SPOP,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.0820668693009115,TRUE,FALSE,FALSE
driver_mutation,PRAD,TP53,none,exactly two,exactly two,0,2,2,TITAN,GigaSSL,0.0977212971078,TRUE,FALSE,TRUE
driver_mutation,READ,APC,all three,all three,all three,3,3,3,ProvGigaPath,ProvGigaPath,0.0241071428571427,FALSE,FALSE,FALSE
driver_mutation,READ,KRAS,none,exactly two,representation specific,0,2,1,ProvGigaPath,ProvGigaPath,0.0958949096880134,TRUE,TRUE,FALSE
driver_mutation,READ,TP53,all three,all three,all three,3,3,3,TITAN,TITAN,0.0247326203208553,FALSE,FALSE,FALSE
driver_mutation,SARC,ATRX,none,exactly two,representation specific,0,2,1,TITAN,TITAN,0.0662739322533141,TRUE,TRUE,FALSE
driver_mutation,SARC,RB1,none,exactly two,all three,0,2,3,TITAN,TITAN,0.099186991869919,TRUE,TRUE,FALSE
driver_mutation,SARC,TP53,none,representation specific,all three,0,1,3,GigaSSL,ProvGigaPath,0.0851685018351681,TRUE,TRUE,TRUE
driver_mutation,SKCM,BRAF,none,representation specific,exactly two,0,1,2,ProvGigaPath,TITAN,0.0765050167224076,TRUE,TRUE,TRUE
driver_mutation,STAD,APC,none,none,representation specific,0,0,1,TITAN,TITAN,0.0681357649442753,FALSE,TRUE,FALSE
driver_mutation,STAD,ARID1A,exactly two,all three,all three,2,3,3,ProvGigaPath,TITAN,0.0317537860283337,TRUE,FALSE,TRUE
driver_mutation,STAD,ARID2,none,exactly two,representation specific,0,2,1,TITAN,TITAN,0.117148157964484,TRUE,TRUE,FALSE
driver_mutation,STAD,BCOR,none,representation specific,exactly two,0,1,2,ProvGigaPath,TITAN,0.159790640394089,TRUE,TRUE,TRUE
driver_mutation,STAD,CDH1,none,exactly two,all three,0,2,3,GigaSSL,TITAN,0.136103896103896,TRUE,TRUE,TRUE
driver_mutation,STAD,CTNNB1,none,exactly two,all three,0,2,3,TITAN,TITAN,0.28405315614618,TRUE,TRUE,FALSE
driver_mutation,STAD,DMD,none,none,representation specific,0,0,1,GigaSSL,TITAN,0.147731834604576,FALSE,TRUE,TRUE
driver_mutation,STAD,ERBB4,none,none,none,0,0,0,TITAN,TITAN,0.0528472222222222,FALSE,FALSE,FALSE
driver_mutation,STAD,FBXW7,none,all three,all three,0,3,3,ProvGigaPath,GigaSSL,0.0372536945812808,TRUE,FALSE,TRUE
driver_mutation,STAD,KRAS,none,all three,all three,0,3,3,ProvGigaPath,ProvGigaPath,0.125671641791045,TRUE,FALSE,FALSE
driver_mutation,STAD,MUC6,none,none,none,0,0,0,TITAN,TITAN,0.0523096732657327,FALSE,FALSE,FALSE
driver_mutation,STAD,PIK3CA,representation specific,all three,all three,1,3,3,TITAN,TITAN,0.0948973607038123,TRUE,FALSE,FALSE
driver_mutation,STAD,PTEN,none,none,representation specific,0,0,1,GigaSSL,GigaSSL,0.0572082379862697,FALSE,TRUE,FALSE
driver_mutation,STAD,RASA1,none,none,representation specific,0,0,1,TITAN,TITAN,0.0643687707641191,FALSE,TRUE,FALSE
driver_mutation,STAD,RHOA,none,exactly two,exactly two,0,2,2,TITAN,TITAN,0.131739130434783,TRUE,FALSE,FALSE
driver_mutation,STAD,RNF43,representation specific,exactly two,representation specific,1,2,1,ProvGigaPath,ProvGigaPath,0.0653735632183912,TRUE,TRUE,FALSE
driver_mutation,STAD,SMAD4,none,none,none,0,0,0,TITAN,GigaSSL,0.0773769003857501,FALSE,FALSE,TRUE
driver_mutation,STAD,TP53,exactly two,exactly two,all three,2,2,3,TITAN,TITAN,0.0261750210361824,FALSE,TRUE,FALSE
driver_mutation,TGCT,KIT,none,all three,all three,0,3,3,ProvGigaPath,TITAN,0.203240740740741,TRUE,FALSE,TRUE
driver_mutation,THCA,BRAF,all three,all three,all three,3,3,3,TITAN,TITAN,0.0192848388724679,FALSE,FALSE,FALSE
driver_mutation,THCA,NRAS,exactly two,all three,all three,2,3,3,TITAN,TITAN,0.101869492736366,TRUE,FALSE,FALSE
driver_mutation,THYM,GTF2I,all three,all three,all three,3,3,3,TITAN,TITAN,0.0648230746357413,FALSE,FALSE,FALSE
driver_mutation,UCEC,ACVR1,none,none,none,0,0,0,GigaSSL,GigaSSL,0.0370401337792646,FALSE,FALSE,FALSE
driver_mutation,UCEC,ARHGAP35,none,none,representation specific,0,0,1,GigaSSL,GigaSSL,0.0191680753441196,FALSE,TRUE,FALSE
driver_mutation,UCEC,ARID1A,representation specific,exactly two,all three,1,2,3,TITAN,TITAN,0.0315296279283415,TRUE,TRUE,FALSE
driver_mutation,UCEC,ARID5B,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.024548032612549,TRUE,FALSE,FALSE
driver_mutation,UCEC,ATF7IP,none,none,representation specific,0,0,1,ProvGigaPath,ProvGigaPath,0.0464364903389293,FALSE,TRUE,FALSE
driver_mutation,UCEC,ATM,exactly two,all three,all three,2,3,3,TITAN,TITAN,0.0160718971398585,TRUE,FALSE,FALSE
driver_mutation,UCEC,ATR,none,representation specific,all three,0,1,3,ProvGigaPath,TITAN,0.0628803245436104,TRUE,TRUE,TRUE
driver_mutation,UCEC,BCOR,none,representation specific,representation specific,0,1,1,TITAN,TITAN,0.0266140109890104,TRUE,FALSE,FALSE
driver_mutation,UCEC,CCND1,none,none,none,0,0,0,TITAN,TITAN,0.0621056362991845,FALSE,FALSE,FALSE
