outcome_type,family,endpoint,source,definition_group,measurement_class,source_modality,direct_vs_inferred,derivation_algorithm,original_scale,transformation,expected_measurement_error,biological_interpretation,equivalence_caveat,source_reference,same_histology_modality
continuous,thorsson,Eosinophils,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Eosinophils,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Leukocyte Fraction,Thorsson2018_PanImmune_MS,Methylation-derived leukocyte fraction,computationally inferred immune-cell fraction,Bulk-tumour DNA methylation array,Computationally inferred,PanCancer methylation mixture estimate of total leukocyte fraction,"Proportion, approximately 0–1",None; source value used as supplied,Mixture estimate affected by tumour purity and methylation-reference mismatch; not a direct cell count,Estimated leukocyte proportion in the bulk tumour specimen,"Not equivalent to flow cytometry, IHC or a directly counted immune-cell assay",Thorsson et al. 2018 (10.1016/j.immuni.2018.03.023),FALSE
continuous,thorsson,Macrophages M0,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Macrophages M0,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Macrophages M1,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Macrophages M1,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Macrophages M2,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Macrophages M2,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Mast Cells Activated,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Mast Cells Activated,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Mast Cells Resting,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Mast Cells Resting,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Monocytes,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Monocytes,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,NK Cells Activated,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of NK Cells Activated,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,NK Cells Resting,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of NK Cells Resting,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Neutrophils,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Neutrophils,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,Plasma Cells,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of Plasma Cells,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,T Cells CD4 Memory Activated,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of T Cells CD4 Memory Activated,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,T Cells CD4 Memory Resting,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of T Cells CD4 Memory Resting,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,T Cells CD4 Naive,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of T Cells CD4 Naive,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,T Cells CD8,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of T Cells CD8,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,T Cells Follicular Helper,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of T Cells Follicular Helper,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,T Cells Regulatory Tregs,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of T Cells Regulatory Tregs,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
continuous,thorsson,T Cells gamma delta,Thorsson2018_PanImmune_MS,CIBERSORT immune-cell fraction,computationally inferred immune-cell fraction,Bulk-tumour RNA sequencing,Computationally inferred,CIBERSORT deconvolution with the LM22 leukocyte signature; relative fraction within the inferred leukocyte compartment,"Relative proportion, approximately 0–1",None; source value used as supplied,"Reference-signature and collinearity error, RNA quality and tumour-mixture dependence; relative fractions are compositional",Inferred relative abundance of T Cells gamma delta,"Not equivalent to flow cytometry, IHC or a direct cell count",Newman et al. 2015 (10.1038/nmeth.3337); Thorsson et al. 2018,FALSE
binary,driver_mutation,ACVR1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ACVR1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ACVR2A,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ACVR2A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,AJUBA,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering AJUBA variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,AKT1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering AKT1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,ALB,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ALB variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
binary,driver_mutation,AMER1,TCGA_MC3_Bailey2018,Gene-specific somatic mutation,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering AMER1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),FALSE
