target_id,outcome_type,family,subfamily,tumor_type,endpoint,source,measurement_class,source_modality,direct_vs_inferred,derivation_algorithm,original_scale,transformation,analysed_patients,positive,negative,embedding_cohort_patients,missing_patients,missing_percent,expected_measurement_error,biological_interpretation,equivalence_caveat,same_histology_modality,source_reference,definition_group
binary::aneuploidy::LIHC::Genome doubling,binary,aneuploidy,aneuploidy,LIHC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,350,115,235,364,14,3.84615384615385,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::LUAD::Genome doubling,binary,aneuploidy,aneuploidy,LUAD,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,449,264,185,468,19,4.05982905982906,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::LUSC::Genome doubling,binary,aneuploidy,aneuploidy,LUSC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,459,249,210,477,18,3.77358490566038,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::OV::Genome doubling,binary,aneuploidy,aneuploidy,OV,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,96,66,30,106,10,9.43396226415094,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::PAAD::Genome doubling,binary,aneuploidy,aneuploidy,PAAD,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,163,40,123,183,20,10.9289617486339,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::PCPG::Genome doubling,binary,aneuploidy,aneuploidy,PCPG,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,157,24,133,176,19,10.7954545454545,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::PRAD::Genome doubling,binary,aneuploidy,aneuploidy,PRAD,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,382,29,353,402,20,4.97512437810945,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::READ::Genome doubling,binary,aneuploidy,aneuploidy,READ,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,143,72,71,156,13,8.33333333333333,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::SARC::Genome doubling,binary,aneuploidy,aneuploidy,SARC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,238,112,126,254,16,6.2992125984252,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::SKCM::Genome doubling,binary,aneuploidy,aneuploidy,SKCM,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,98,35,63,292,194,66.4383561643836,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::STAD::Genome doubling,binary,aneuploidy,aneuploidy,STAD,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,360,154,206,374,14,3.74331550802139,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::aneuploidy::UCEC::Genome doubling,binary,aneuploidy,aneuploidy,UCEC,Genome doubling,Taylor2018_TableS2,composite genomic-context score,Allele-specific copy-number profiles,Computationally inferred whole-genome-doubling status,Taylor et al. genome-doubling call from allele-specific copy-number/ploidy analysis; any positive primary aliquot defines patient positivity,Binary 0/1,None,477,97,380,505,28,5.54455445544554,"Sensitive to purity, ploidy and copy-number segmentation; no technical-replicate error estimate was supplied",Evidence of at least one whole-genome-doubling event,"Research copy-number inference, not a directly observed karyotype",FALSE,Taylor et al. 2018 (10.1016/j.ccell.2018.03.007),Genome-doubling call
binary::driver_mutation::BLCA::ARID1A,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ARID1A,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,98,286,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ARID1A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::ASXL2,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ASXL2,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,35,349,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ASXL2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::ATM,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ATM,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,53,331,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ATM variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::CDKN1A,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN1A,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,37,347,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CDKN1A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::CDKN2A,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CDKN2A,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,24,360,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CDKN2A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::CREBBP,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,CREBBP,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,48,336,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering CREBBP variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::ELF3,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ELF3,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,46,338,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ELF3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::EP300,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,EP300,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,54,330,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering EP300 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::ERBB2,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB2,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,46,338,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ERBB2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::ERBB3,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERBB3,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,40,344,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ERBB3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::ERCC2,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,ERCC2,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,35,349,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering ERCC2 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::FAT1,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FAT1,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,46,338,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FAT1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::FBXW7,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FBXW7,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,30,354,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FBXW7 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::FGFR3,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,FGFR3,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,54,330,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering FGFR3 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::KANSL1,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KANSL1,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,24,360,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering KANSL1 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::KDM6A,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KDM6A,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,96,288,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering KDM6A variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::KLF5,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KLF5,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,21,363,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering KLF5 variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::KMT2C,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2C,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,71,313,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering KMT2C variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
binary::driver_mutation::BLCA::KMT2D,binary,driver_mutation,Bailey_tissue_specific_driver,BLCA,KMT2D,TCGA_MC3_Bailey2018,directly observed genomic alteration,Tumour DNA sequencing (MC3 consensus somatic calls),Sequence-supported alteration call; computationally called,MC3 consensus PASS call restricted to nine protein-altering variant classes; wild type requires a matched primary-tumour MC3 profile,Binary 0/1 per gene,None,384,110,274,386,2,0.518134715025907,"Affected by tumour purity, coverage, variant allele fraction and caller consensus; no technical-replicate error estimate was supplied",Presence of at least one qualifying protein-altering KMT2D variant; not every allele is a functionally validated driver,"Research sequencing call, not a clinically certified companion-diagnostic assay",FALSE,MC3; Bailey et al. 2018 (10.1016/j.cell.2018.02.060),Gene-specific somatic mutation
